om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
427844,2013,1,10,2013-01-10,05:30:00,3,LA,22,0,1,0,0,0.2,0.0,30.265,-91.901,30.288,-91.879,2.06,50.0,1,1,1,99,0,0,0,0
427843,2013,1,10,2013-01-10,05:51:00,3,LA,22,0,1,0,0,0.1,0.0,29.952,-91.779,30.026,-91.744,5.53,50.0,1,1,1,45,0,0,0,0
428684,2013,1,10,2013-01-10,07:35:00,3,LA,22,0,0,0,0,0.015,0.0,30.2757,-91.2112,30.2757,-91.2112,0.3,100.0,1,1,1,47,0,0,0,0
422504,2013,1,12,2013-01-12,15:18:00,3,KY,21,0,2,0,0,0.1,0.0,37.2784,-88.3739,37.2958,-88.3489,1.83,200.0,1,1,1,139,0,0,0,0
419553,2013,1,12,2013-01-12,23:30:00,3,LA,22,0,1,2,0,0.12,0.0,32.1843,-93.5888,32.2565,-93.5032,7.06,300.0,1,1,1,31,81,17,0,0
430076,2013,1,13,2013-01-13,12:15:00,3,LA,22,0,1,0,0,0.1,0.0,30.255,-91.828,30.257,-91.822,0.38,25.0,1,1,1,99,0,0,0,0
428700,2013,1,13,2013-01-13,13:19:00,3,LA,22,0,0,0,0,0.04,0.0,30.6496,-91.1972,30.7651,-91.0451,12.46,40.0,1,1,1,33,37,0,0,0
428322,2013,1,13,2013-01-13,15:36:00,3,TN,47,0,0,0,0,0.025,0.01,35.7164,-86.6692,35.7199,-86.6412,1.59,100.0,1,1,1,149,0,0,0,0
428702,2013,1,13,2013-01-13,16:45:00,3,MS,28,0,1,0,0,0.04,0.0,30.8123,-89.5046,30.8252,-89.4967,1.0,150.0,1,1,1,109,0,0,0,0
431498,2013,1,13,2013-01-13,18:15:00,3,MS,28,0,1,0,0,0.1,0.0,31.5899,-88.5258,31.6265,-88.4884,3.35,200.0,1,1,1,153,0,0,0,0
429858,2013,1,29,2013-01-29,06:48:00,3,OK,40,0,1,0,0,0.2,0.0,36.155,-97.456,36.159,-97.437,1.1,40.0,1,1,1,83,0,0,0,0
422620,2013,1,29,2013-01-29,11:00:00,3,MO,29,0,1,0,0,0.1,0.0,37.8388,-93.8816,37.836,-93.833,2.66,200.0,1,1,1,39,0,0,0,0
422623,2013,1,29,2013-01-29,11:15:00,3,MO,29,0,1,0,0,0.225,0.0,37.9759,-93.6112,38.0246,-93.4664,8.58,400.0,1,1,1,185,85,0,0,0
422660,2013,1,29,2013-01-29,14:55:00,3,OK,40,0,1,0,0,0.02,0.0,35.605,-94.498,35.704,-94.394,9.0,700.0,2,0,1,0,0,0,0,0
422660,2013,1,29,2013-01-29,14:55:00,3,OK,40,0,1,0,0,0.0,0.0,35.605,-94.498,35.6332,-94.4718,2.4,400.0,2,1,2,135,0,0,0,0
422660,2013,1,29,2013-01-29,14:57:00,3,AR,5,0,2,0,0,0.02,0.0,35.6332,-94.4718,35.704,-94.394,6.6,700.0,2,1,2,33,0,0,0,0
432081,2013,1,29,2013-01-29,15:14:00,3,MO,29,0,1,0,0,0.0,0.0,38.6622,-91.1273,38.6645,-91.1059,1.17,40.0,1,1,1,219,0,0,0,0
422601,2013,1,29,2013-01-29,15:34:00,3,AR,5,0,1,0,0,0.5,0.0,36.024,-94.064,36.071,-94.004,4.2,400.0,1,1,1,143,0,0,0,0
432083,2013,1,29,2013-01-29,15:36:00,3,MO,29,0,0,0,0,0.0,0.0,38.9113,-90.8106,38.9282,-90.7887,1.66,30.0,1,1,1,113,0,0,0,0
422603,2013,1,29,2013-01-29,15:57:00,3,AR,5,0,1,0,0,0.25,0.0,36.295,-93.704,36.302,-93.661,2.0,350.0,1,1,1,87,0,0,0,0
423332,2013,1,29,2013-01-29,18:15:00,3,TX,48,0,0,0,0,0.005,0.0,32.6993,-95.5502,32.7014,-95.5481,0.19,325.0,1,1,1,499,0,0,0,0
424060,2013,1,29,2013-01-29,18:48:00,3,MS,28,0,0,0,0,0.005,0.0,33.59,-91.02,33.5938,-91.0137,0.45,50.0,1,1,1,11,0,0,0,0
422562,2013,1,29,2013-01-29,20:01:00,3,AR,5,0,0,0,0,0.01,0.0,34.4992,-92.1013,34.5474,-92.03,5.25,50.0,1,1,1,119,0,0,0,0
424851,2013,1,29,2013-01-29,20:14:00,3,MO,29,0,1,0,0,0.1,0.0,36.6933,-90.7598,36.6936,-90.755,0.27,100.0,1,1,1,181,0,0,0,0
424852,2013,1,29,2013-01-29,20:45:00,3,MO,29,0,2,0,0,0.06,0.0,36.76,-90.26,36.7939,-90.2156,3.39,100.0,1,1,1,23,0,0,0,0
