12345 XXX Abcdefghi Observations at 00Z 01 Jan 1900

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     29                                                               
  967.0    287   -5.9   -7.9     86   2.19    185      7  269.8  275.9  270.2
  963.0    319   -6.1   -8.6     82   2.08    186     10  269.9  275.8  270.3
  927.6    610   -8.2   -9.2     92   2.05    195     33  270.8  276.5  271.1
  925.0    632   -8.3   -9.3     92   2.05    195     35  270.8  276.6  271.1
  911.0    750   -9.1   -9.8     95   2.00    203     40  271.2  276.8  271.5
  892.0    914   -9.2   -9.7     97   2.07    215     48  272.7  278.5  273.0
  885.0    975   -9.3   -9.6     98   2.10    222     45  273.2  279.2  273.6
  869.0   1116   -7.1   -8.2     92   2.38    238     38  276.9  283.8  277.3
  863.0   1171   -4.7   -7.1     83   2.61    245     35  280.0  287.5  280.4
  857.8   1219   -1.5   -6.0     71   2.86    250     33  283.8  292.2  284.3
  854.0   1254    0.8   -5.2     64   3.05    250     33  286.6  295.6  287.1
  851.0   1283    2.0   -5.0     60   3.11    250     33  288.1  297.4  288.7
  850.0   1292    2.0   -5.0     60   3.12    250     33  288.2  297.5  288.8
  830.0   1485    3.4   -6.6     48   2.82    254     32  291.7  300.2  292.2
  811.0   1672    3.6   -6.4     48   2.93    257     30  293.8  302.8  294.3
  795.4   1829    2.7   -6.5     51   2.96    260     29  294.5  303.5  295.0
  765.9   2134    0.9   -6.8     56   3.00    260     35  295.7  304.9  296.3
  752.0   2281    0.0   -7.0     59   3.02    260     36  296.3  305.6  296.9
  737.3   2438   -1.1   -6.8     65   3.13    260     37  296.8  306.4  297.4
  709.6   2743   -3.2   -6.4     78   3.35    255     42  297.8  308.1  298.4
  700.0   2851   -3.9   -6.3     83   3.43    260     44  298.1  308.7  298.8
  697.0   2885   -4.1   -6.4     84   3.41    260     44  298.3  308.8  298.9
  631.2   3658   -8.9  -10.4     89   2.76    260     43  301.4  310.1  301.9
  605.0   3989  -10.9  -12.1     91   2.51    260     51  302.7  310.7  303.2
  597.0   4092  -11.1  -13.2     84   2.33    260     53  303.7  311.1  304.1
  589.0   4196  -11.1  -15.9     68   1.89    260     55  304.8  311.0  305.2
  583.5   4267  -11.4  -15.1     74   2.04    260     57  305.3  312.0  305.7
  577.0   4354  -11.7  -14.1     82   2.24    260     58  305.9  313.2  306.4
  569.0   4461  -12.3  -13.4     91   2.40    260     60  306.4  314.2  306.9
  560.8   4572  -13.0  -14.3     90   2.27    260     61  306.9  314.3  307.3
  546.0   4776  -14.3  -15.9     88   2.04    260     60  307.7  314.4  308.1
  538.8   4877  -14.4  -17.3     79   1.84    260     60  308.7  314.8  309.1
  536.0   4916  -14.5  -17.8     76   1.77    260     60  309.1  315.0  309.4
  520.0   5145  -16.3  -19.1     79   1.63    262     61  309.6  315.1  309.9
  507.0   5336  -17.1  -21.6     68   1.35    264     62  310.9  315.5  311.1
  500.0   5440  -17.9  -22.2     69   1.30    265     62  311.1  315.6  311.4
  467.0   5948  -21.5  -27.5     58   0.86    265     59  312.8  315.8  313.0
  457.6   6096  -22.8  -28.4     60   0.81    265     58  313.0  315.9  313.2
  438.9   6401  -25.5  -30.2     65   0.71    265     56  313.4  315.9  313.5
  436.0   6450  -25.9  -30.5     65   0.70    265     57  313.4  315.9  313.6
  427.0   6601  -27.1  -33.1     57   0.55    266     59  313.8  315.8  313.9
  420.0   6720  -27.5  -31.7     67   0.64    267     60  314.8  317.1  314.9
  406.0   6964  -28.7  -36.7     46   0.41    269     64  316.3  317.8  316.3
  400.0   7070  -29.7  -37.7     46   0.37    270     65  316.3  317.7  316.4
  393.0   7196  -30.9  -37.9     50   0.37    269     67  316.3  317.7  316.4
  378.0   7470  -33.1  -48.1     21   0.13    266     72  317.0  317.5  317.0
  371.0   7601  -34.1  -52.1     14   0.08    265     74  317.3  317.7  317.4
  370.0   7620  -34.3  -51.8     15   0.09    265     74  317.4  317.7  317.4
  361.0   7792  -35.9  -48.9     25   0.12    262     74  317.4  317.9  317.4
  356.0   7888  -36.7  -44.7     43   0.20    261     74  317.6  318.4  317.6
  354.1   7925  -37.1  -44.5     46   0.21    260     74  317.6  318.4  317.6
  353.0   7947  -37.3  -44.3     48   0.21    260     74  317.6  318.4  317.6
  346.0   8085  -37.9  -42.4     63   0.27    261     73  318.6  319.6  318.6
  336.0   8286  -39.7  -43.8     65   0.24    263     71  318.8  319.7  318.9
  300.0   9050  -46.1  -51.1     57   0.12    270     66  320.3  320.7  320.3
  295.7   9144  -47.0  -52.1     55   0.10    270     65  320.3  320.8  320.4
  250.0  10230  -57.3  -64.3     41   0.03    270     74  320.8  320.9  320.8
  240.0  10486  -59.9  -66.9     40   0.02    267     76  320.6  320.7  320.6
  215.0  11158  -64.5  -71.5     38   0.01    260     83  323.7  323.8  323.7
  210.8  11278  -65.3  -72.3     37   0.01    260     83  324.3  324.3  324.3
  200.0  11600  -67.5  -74.5     36   0.01    270     70  325.7  325.8  325.7
  198.0  11661  -67.9  -74.9     36   0.01    270     70  326.0  326.1  326.0
  190.7  11887  -67.9  -74.0     41   0.01    270     67  329.5  329.6  329.5
  190.0  11909  -67.9  -73.9     42   0.01    270     67  329.9  329.9  329.9
  188.0  11972  -66.5  -73.5     37   0.01    270     67  333.1  333.2  333.1
  185.0  12070  -66.7  -73.7     37   0.01    271     68  334.3  334.4  334.4
  181.0  12202  -65.7  -73.7     32   0.01    272     68  338.1  338.1  338.1
  172.0  12512  -66.5  -74.5     32   0.01    273     69  341.7  341.8  341.7
  169.0  12619  -65.5  -74.5     28   0.01    274     69  345.1  345.1  345.1
  167.0  12692  -62.7  -73.7     21   0.01    274     70  350.9  351.0  350.9
  164.0  12803  -62.3  -73.3     22   0.01    275     70  353.4  353.5  353.4
  164.0  12802  -62.3  -73.3     22   0.01    275     70  353.4  353.5  353.4
  163.0  12841  -60.7  -72.7     19   0.01    274     69  356.7  356.8  356.7
  162.0  12880  -60.3  -72.3     19   0.01    274     68  358.0  358.1  358.0
  152.0  13277  -60.1  -75.1     12   0.01    266     56  365.0  365.0  365.0
  150.0  13360  -60.5  -76.5     11   0.01    265     54  365.6  365.7  365.6
  148.8  13411  -60.6  -76.9     10   0.01    270     53  366.3  366.3  366.3
  146.0  13528  -60.9  -77.9      9   0.01    272     60  367.8  367.8  367.8
  143.0  13658  -59.5  -78.5      7   0.01    274     68  372.4  372.4  372.4
  141.7  13716  -58.3  -78.2      6   0.01    275     72  375.6  375.6  375.6
  140.0  13791  -56.7  -77.7      5   0.01    276     71  379.6  379.6  379.6
  135.0  14020  -58.7  -82.7      3   0.00    280     70  380.0  380.0  380.0
  130.0  14257  -58.7  -85.7      2   0.00    284     68  384.1  384.1  384.1
  128.6  14326  -58.1  -85.9      2   0.00    285     67  386.3  386.4  386.4
  120.0  14765  -54.5  -87.5      1   0.00    278     40  400.7  400.7  400.7
  116.8  14935  -55.9  -88.3      1   0.00    275     29  401.2  401.2  401.2
  111.3  15240  -58.5  -89.7      1   0.00    270     29  402.0  402.0  402.0
  110.0  15316  -59.1  -90.1      1   0.00    271     32  402.2  402.2  402.2
  100.0  15910  -61.5  -92.5      1   0.00    280     60  408.6  408.6  408.6
   87.2  16764  -60.2  -91.2      1   0.00    290     52  427.7  427.7  427.7
   86.6  16805  -60.1  -91.1      1   0.00    289     53  428.6  428.6  428.6
   84.5  16959  -57.3  -89.3      1   0.00    284     55  437.3  437.3  437.3
   79.1  17374  -58.6  -90.2      1   0.00    270     62  442.8  442.8  442.8
   73.7  17818  -60.1  -91.1      1   0.00    284     59  448.8  448.8  448.8
   70.6  18087  -59.3  -90.3      1   0.00    293     56  456.1  456.1  456.1
   70.0  18140  -59.7  -90.7      1   0.00    295     56  456.3  456.3  456.3
   68.3  18288  -60.3  -91.3      1   0.00    300     54  458.2  458.2  458.2
   65.5  18553  -61.3  -92.3      1   0.00    300     55  461.6  461.6  461.6
   65.1  18593  -61.1  -92.1      1   0.00    300     55  462.8  462.8  462.8
   62.0  18898  -59.8  -90.8      1   0.00    290     59  472.4  472.4  472.4
   61.4  18954  -59.5  -90.5      1   0.00    290     59  474.2  474.2  474.2
   56.7  19451  -60.1  -91.1      1   0.00    294     58  483.7  483.7  483.7
   50.0  20230  -61.9  -91.9      1   0.00    300     57  497.2  497.2  497.2
