PRESSURE TEMP H2O UPWARD_FLUX DOWNWARD_FLUX    
   mb     K   ppmv   W/m2        W/m2
 0.0003 190.5236  0.4039 287.3553  0.0000
 0.1000 230.3000  5.1000 287.3951  0.1150
 0.1403 238.7969  5.4981 287.4164  0.1534
 0.1968 246.9846  5.7854 287.4434  0.2102
 0.2760 254.8562  6.0000 287.4754  0.2926
 0.3871 260.1296  6.0000 287.5101  0.4146
 0.5430 264.8864  6.0000 287.5375  0.5971
 0.7617 268.6230  6.0000 287.5245  0.8690
 1.0690 269.7784  5.9297 287.4395  1.2058
 1.4990 265.8158  5.7423 287.3080  1.5967
 2.1020 260.2675  5.5321 287.1161  2.0423
 2.9490 254.6416  5.2356 286.8758  2.5437
 4.1370 249.0591  4.9305 286.5915  3.1142
 5.8020 243.7145  4.6341 286.2682  3.7765
 8.1390 238.5164  4.3454 285.9154  4.5635
11.4200 233.4446  4.0636 285.5463  5.4836
16.0100 228.5812  3.7193 285.1835  6.5201
22.4600 223.6483  3.3905 284.8654  7.6712
31.5100 218.5356  3.1094 284.6353  8.9310
44.2000 212.7873  2.7303 284.4683 10.2349
62.0000 204.5218  2.6000 284.4597 11.1721
85.7800 196.9405  2.8197 285.1245 11.6450
109.6000 196.8220  2.9919 287.0280 12.1940
133.1000 204.0025  4.1017 289.7382 14.0149
156.8000 210.5062  6.3332 292.3754 16.5288
180.6000 216.6392  9.7018 295.0852 19.7923
202.8000 221.4284 22.7490 297.7281 24.0838
228.4000 226.5441 48.9839 300.5701 30.2426
252.2000 231.0200 88.8120 303.6471 38.0132
276.0000 235.2308 160.9077 306.9245 46.9584
299.8000 239.1181 261.3553 310.4989 56.9095
323.5000 242.7558 381.8395 314.3636 67.3616
347.3000 246.1022 541.9708 318.4681 78.0597
371.1000 249.3565 713.8651 322.7245 88.6477
394.9000 252.3969 928.0994 327.1955 99.4621
418.6000 255.3374 1158.6478 331.8266 110.3396
442.4000 258.1440 1429.7467 336.6179 121.3586
466.2000 260.7620 1751.8400 341.5414 132.3857
490.0000 263.3800 2073.9333 346.5295 143.3862
513.7000 265.7700 2504.2313 351.6544 154.5992
537.5000 268.1500 2946.4851 356.8760 165.9058
561.3000 270.5082 3380.0338 362.1728 177.2923
585.0000 272.6541 3730.7297 367.5874 188.8040
608.8000 274.8089 4082.9054 373.0206 200.1640
632.6000 276.9638 4435.0811 378.4163 211.3749
656.4000 278.9120 5627.8366 383.8102 222.7076
680.2000 280.8566 6834.9610 389.0587 233.9820
703.9000 282.7930 8037.0134 394.0042 245.0397
727.7000 284.2644 9551.0889 398.5854 255.8898
751.5000 285.3222 11333.4444 402.9502 266.6450
775.3000 286.3800 13115.8000 407.4002 277.4591
799.0000 287.4333 14890.6667 412.2117 288.7452
822.8000 288.7788 16086.1616 417.5142 300.6858
846.6000 290.2212 17083.8384 423.0651 312.5948
870.3000 291.6576 18077.3232 428.7130 324.5137
894.1000 293.1000 19075.0000 434.3441 336.4152
917.9000 294.4651 20311.2477 439.8894 348.4073
941.7000 295.7752 21717.4128 445.3276 360.5272
965.5000 297.0853 23123.5780 450.5533 372.6725
989.2000 298.3899 24523.8349 455.4355 384.8344
1013.0000 299.7000 25930.0000 459.2934 396.9552
