72357 OUN Norman Observations at 00Z 13 Oct 2016

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    173                                                               
  980.0    345   13.4    9.6     78   7.71     50     12  288.2  310.1  289.6
  949.2    610   10.3    8.6     89   7.41      5     19  287.7  308.7  289.0
  925.0    825    7.8    7.7     99   7.17     10     20  287.3  307.6  288.5
  922.0    852    7.6    7.5     99   7.10     12     20  287.3  307.5  288.6
  917.0    897    9.4    9.4    100   8.13     14     21  289.6  312.8  291.1
  915.1    914   10.3   10.2     99   8.58     15     21  290.7  315.2  292.2
  910.0    961   12.6   12.2     97   9.90      6     19  293.6  322.1  295.3
  882.6   1219   14.0   13.0     94  10.74    315      6  297.6  328.9  299.5
  874.0   1301   14.4   13.2     93  11.03    287      8  298.8  331.2  300.8
  851.3   1524   13.8   13.1     95  11.25    210     14  300.5  333.8  302.5
  850.0   1537   13.8   13.1     96  11.27    210     13  300.6  333.9  302.6
  821.0   1829   12.2   11.7     97  10.66    210     19  301.9  333.7  303.9
  791.7   2134   10.6   10.3     98  10.05    220     19  303.3  333.4  305.1
  775.0   2313    9.6    9.5     99   9.71    238     25  304.1  333.4  305.9
  764.0   2431    7.8    3.1     72   6.30    249     29  303.4  322.6  304.6
  763.4   2438    7.9    3.1     71   6.29    250     29  303.6  322.8  304.8
  742.0   2675   12.8    1.8     47   5.91    250     31  311.4  330.1  312.5
  736.0   2743   12.5    0.2     43   5.30    250     32  311.8  328.7  312.8
  719.0   2939   11.6   -4.4     32   3.86    252     32  312.9  325.4  313.6
  700.0   3162   10.0   -5.0     34   3.78    255     32  313.5  325.9  314.2
  659.1   3658    5.6   -6.0     43   3.72    250     28  314.0  326.1  314.7
  652.0   3747    4.8   -6.2     45   3.71    251     28  314.1  326.2  314.8
  634.9   3962    3.2  -11.2     34   2.58    255     28  314.7  323.3  315.2
  611.4   4267    1.0  -18.2     22   1.50    260     29  315.5  320.7  315.8
  603.0   4379    0.2  -20.8     19   1.22    261     30  315.9  320.1  316.1
  566.3   4877   -4.0  -22.1     23   1.16    265     36  316.6  320.7  316.8
  554.0   5051   -5.5  -22.5     25   1.14    267     37  316.9  320.9  317.1
  505.0   5773   -8.7  -56.7      1   0.04    274     43  321.4  321.6  321.5
  500.0   5850   -8.7  -53.7      1   0.05    275     44  322.4  322.6  322.4
  484.0   6096  -10.4  -52.9      2   0.06    275     45  323.3  323.5  323.3
  400.0   7540  -20.5  -48.5      6   0.12    280     58  328.3  328.8  328.3
  395.6   7620  -21.1  -48.4      7   0.12    275     59  328.5  329.0  328.5
  357.0   8371  -26.9  -47.9     12   0.14    281     60  330.5  331.1  330.5
  337.0   8784  -30.3  -42.3     30   0.28    285     61  331.4  332.5  331.4
  334.4   8839  -30.8  -43.1     29   0.26    285     61  331.5  332.5  331.5
  320.1   9144  -33.3  -47.5     23   0.16    285     63  332.1  332.8  332.1
  300.0   9600  -37.1  -54.1     15   0.08    280     67  333.0  333.3  333.0
  297.0   9669  -37.7  -53.7     17   0.09    280     68  333.1  333.4  333.1
  274.0  10217  -41.5  -51.5     33   0.12    280     74  335.3  335.9  335.4
  256.1  10668  -44.1  -58.6     19   0.06    280     80  337.9  338.2  338.0
  250.0  10830  -45.1  -61.1     15   0.04    280     82  338.9  339.1  338.9
  244.0  10993  -46.1  -62.1     15   0.04    280     83  339.7  339.9  339.8
  223.1  11582  -51.0  -60.7     31   0.05    280     87  340.9  341.2  340.9
  220.0  11674  -51.8  -60.5     35   0.05    280     87  341.1  341.4  341.1
  215.0  11826  -53.1  -60.1     42   0.05    281     86  341.4  341.6  341.4
  200.0  12290  -57.1  -64.1     41   0.03    285     82  342.2  342.3  342.2
  199.0  12322  -57.1  -64.1     41   0.03    285     82  342.7  342.8  342.7
  175.5  13106  -60.4  -75.7     12   0.01    285     82  349.8  349.8  349.8
  171.0  13267  -61.1  -78.1      9   0.01    283     79  351.2  351.2  351.2
  151.2  14021  -64.3  -80.3      9   0.00    275     62  358.3  358.3  358.3
  150.0  14070  -64.5  -80.5      9   0.00    270     64  358.8  358.8  358.8
  143.8  14326  -65.4  -81.2      9   0.00    270     72  361.5  361.6  361.5
  123.6  15240  -68.7  -83.9     10   0.00    270     55  371.5  371.5  371.5
  117.0  15573  -69.9  -84.9     10   0.00    270     48  375.2  375.2  375.2
  106.2  16154  -69.9  -84.9     10   0.00    270     35  385.8  385.8  385.8
  101.0  16451  -69.9  -84.9     10   0.00    253     38  391.3  391.3  391.3
  100.0  16510  -69.9  -84.9     10   0.00    250     38  392.4  392.4  392.4

Station information and sounding indices

                         Station identifier: OUN
                             Station number: 72357
                           Observation time: 161013/0000
                           Station latitude: 35.18
                          Station longitude: -97.44
                          Station elevation: 345.0
                            Showalter index: 0.82
                               Lifted index: 14.42
    LIFT computed using virtual temperature: 14.25
                                SWEAT index: 227.19
                                    K index: 20.60
                         Cross totals index: 21.80
                      Vertical totals index: 22.50
                        Totals totals index: 44.30
      Convective Available Potential Energy: 0.08
             CAPE using virtual temperature: 0.09
                      Convective Inhibition: 0.00
             CINS using virtual temperature: 0.00
                           Equilibrum Level: 920.84
 Equilibrum Level using virtual temperature: 920.89
                   Level of Free Convection: 924.47
             LFCT using virtual temperature: 924.47
                     Bulk Richardson Number: 0.00
          Bulk Richardson Number using CAPV: 0.00
  Temp [K] of the Lifted Condensation Level: 281.34
Pres [hPa] of the Lifted Condensation Level: 924.47
     Mean mixed layer potential temperature: 287.74
              Mean mixed layer mixing ratio: 7.43
              1000 hPa to 500 hPa thickness: 5677.00
Precipitable water [mm] for entire sounding: 28.35
