PRESSURE TEMP H2O UPWARD_FLUX DOWNWARD_FLUX    
   mb     K   ppmv   W/m2        W/m2
 0.1000 249.0908  4.1382 199.5435  0.0000
 0.1400 250.4066  4.4013 199.5476  0.1342
 0.1970 253.2917  4.6021 199.5534  0.2233
 0.2760 257.7903  4.7941 199.5520  0.3264
 0.3870 259.1645  4.8822 199.5300  0.4493
 0.5430 259.2788  4.9394 199.4842  0.5955
 0.7620 253.9831  4.9936 199.4000  0.7585
 1.0700 247.8254  5.0000 199.3040  0.9254
 1.5000 241.7497  5.0000 199.1923  1.1195
 2.1000 235.9961  5.0000 199.0677  1.3386
 2.9500 230.2589  5.0000 198.9308  1.5853
 4.1300 224.7067  5.0000 198.7934  1.8584
 5.8000 220.4095  5.0000 198.6835  2.1877
 8.1300 217.5729  5.0000 198.5981  2.6488
11.4100 215.4110  5.0000 198.5296  3.2868
16.0100 213.3157  5.0000 198.4933  4.1076
22.4600 211.2323  5.0000 198.5655  5.1313
31.5100 212.4468  4.9461 198.8721  6.5969
44.2000 213.7164  4.8403 199.3108  8.6012
62.0000 214.9936  4.7339 199.9277 11.1161
85.7700 216.2268  4.6311 200.6444 13.9337
109.5000 217.1700  4.5525 201.2730 16.3189
133.3000 217.2000  4.4904 201.7683 18.3067
157.1000 217.2000  4.8193 202.2476 20.0344
180.9000 217.2000  6.5714 202.6987 21.7398
204.6000 217.2000  9.7209 203.1795 23.6301
228.4000 217.2000 16.1823 203.7425 25.8531
252.2000 217.2000 22.4697 204.4328 28.4716
276.0000 217.2000 28.1215 205.3166 31.1532
299.8000 218.3996 31.1995 206.6217 33.9912
323.5000 220.0818 33.2182 208.0370 36.9108
347.3000 222.6284 68.0994 209.7803 40.3559
371.1000 225.5543 117.5161 211.7776 45.3759
394.9000 228.3632 161.0560 214.0578 51.7445
418.6000 230.9879 195.7568 216.4461 58.0725
442.4000 233.6238 230.6041 218.8491 64.1390
466.2000 236.0190 291.6467 221.3223 70.2610
490.0000 238.3611 358.4658 223.8258 76.4830
513.7000 240.6933 425.0042 226.3470 82.7915
537.5000 242.8065 531.5218 228.9316 89.3343
561.3000 244.8974 641.8813 231.5014 95.9637
585.0000 246.9796 751.7770 233.9779 102.6607
608.8000 248.6007 857.5681 236.1513 109.2834
632.6000 249.9748 960.9580 238.1920 115.4813
656.4000 251.3490 1064.3478 240.1503 121.4474
680.1000 252.7098 1166.8014 241.9226 127.2514
703.9000 253.4894 1230.3818 243.2936 132.5089
727.7000 254.2689 1293.9621 244.6126 137.3324
751.5000 255.0484 1357.5425 245.8827 141.8972
775.3000 255.8279 1421.1228 247.0947 146.2369
799.0000 256.5238 1463.6455 248.2473 150.4313
822.8000 257.2142 1504.2112 249.3127 154.4136
846.6000 257.9047 1544.7770 250.2437 158.2252
870.3000 258.5923 1585.1723 250.9683 161.8915
894.1000 259.0044 1604.4329 250.9814 165.1922
917.9000 258.6432 1564.5128 250.2719 167.2695
941.7000 258.2820 1524.5927 249.6163 168.8129
965.5000 257.9208 1484.6725 249.0207 170.0518
989.2000 257.5612 1444.9201 248.4982 171.0722
1013.0000 257.2000 1405.0000 248.1390 171.9106
