12345 XYZ Abcdef Observations at 00Z 01 Jan 1900

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1015.0     20   -5.1   -9.2     73   1.89     60     16  266.9  272.1  267.2
 1000.0    138   -5.7   -8.1     83   2.09     65     16  267.4  273.2  267.8
  982.0    280   -7.1   -8.1     93   2.12     73     17  267.4  273.3  267.8
  978.8    305   -7.2   -8.2     93   2.11     75     17  267.5  273.4  267.9
  941.0    610   -9.1   -9.8     95   1.94    110     20  268.7  274.1  269.0
  925.0    743   -9.9  -10.5     95   1.87    115     22  269.2  274.4  269.5
  912.0    852   -9.9  -10.7     94   1.86    118     26  270.3  275.5  270.6
  904.8    914   -8.6   -9.3     95   2.10    120     28  272.2  278.2  272.6
  870.4   1219   -2.1   -2.3     99   3.73    130     30  282.0  292.6  282.6
  866.0   1258   -1.3   -1.4     99   4.00    132     30  283.3  294.7  283.9
  852.0   1388   -1.5   -1.9     97   3.92    139     29  284.4  295.7  285.1
  850.0   1407   -1.3   -2.6     91   3.73    140     29  284.8  295.6  285.4
  830.0   1598    2.0    2.0    100   5.35    147     28  290.2  305.8  291.1
  817.0   1726    2.6    2.2     97   5.52    151     27  292.1  308.3  293.1
  806.6   1829    2.1    1.6     97   5.37    155     26  292.7  308.5  293.7
  747.6   2438   -0.6   -1.6     93   4.58    230     52  296.2  310.0  297.0
  700.0   2965   -2.9   -4.4     89   3.96    224     49  299.2  311.4  300.0
  666.2   3353   -5.5   -6.6     92   3.53    220     46  300.6  311.5  301.3
  640.7   3658   -7.5   -8.3     94   3.21    230     43  301.7  311.7  302.3
  619.0   3928   -9.3   -9.8     96   2.95    234     46  302.6  311.9  303.1
  616.3   3962   -9.5  -10.4     93   2.82    235     46  302.8  311.7  303.3
  593.0   4258  -11.1  -15.8     68   1.89    240     48  304.2  310.4  304.6
  592.3   4267  -11.2  -15.9     68   1.88    240     48  304.3  310.4  304.6
  569.0   4574  -13.3  -18.1     67   1.63    237     49  305.3  310.6  305.6
  546.7   4877  -15.5  -17.0     89   1.86    235     49  306.1  312.2  306.5
  545.0   4901  -15.7  -16.9     90   1.88    235     49  306.2  312.4  306.6
  541.0   4956  -15.5  -17.3     86   1.83    236     49  307.1  313.1  307.4
  536.0   5026  -14.7  -23.7     46   1.06    237     49  308.9  312.5  309.1
  533.0   5069  -14.7  -23.7     46   1.07    238     50  309.4  313.0  309.6
  500.0   5550  -17.3  -24.3     54   1.08    245     51  311.9  315.6  312.1
  464.3   6096  -22.3  -27.1     65   0.90    245     51  312.3  315.4  312.4
  433.0   6612  -27.1  -29.8     78   0.75    245     48  312.5  315.2  312.7
  409.6   7010  -30.0  -33.3     73   0.57    245     45  313.7  315.8  313.8
  400.0   7180  -31.3  -34.8     71   0.50    245     51  314.2  316.1  314.3
  375.5   7620  -34.1  -37.9     69   0.39    250     66  316.3  317.7  316.4
  359.4   7925  -36.0  -40.0     67   0.33    250     70  317.7  318.9  317.7
  335.0   8415  -39.1  -43.4     64   0.25    248     70  319.9  320.9  319.9
  300.7   9144  -45.6  -50.5     58   0.13    245     70  320.8  321.3  320.8
  300.0   9160  -45.7  -50.6     58   0.12    245     70  320.8  321.3  320.9
  287.0   9449  -48.4  -53.0     59   0.10    240     82  321.0  321.4  321.1
  261.4  10058  -54.1  -58.1     61   0.06    240     63  321.3  321.5  321.3
  250.0  10350  -56.9  -60.6     63   0.04    240     66  321.4  321.5  321.4
  237.4  10668  -59.7  -63.3     63   0.03    240     67  321.9  322.1  321.9
  225.9  10973  -62.4  -65.9     63   0.02    245     65  322.4  322.5  322.4
  204.6  11582  -67.7  -71.0     63   0.01    245     93  323.2  323.3  323.2
  204.0  11601  -67.9  -71.2     63   0.01    245     91  323.2  323.3  323.2
  203.0  11631  -67.8  -71.0     63   0.01    245     93  323.9  324.0  323.9
  200.0  11720  -67.3  -70.6     63   0.01    250     85  326.0  326.1  326.0
  197.0  11811  -65.1  -68.4     63   0.02    253     75  330.9  331.0  330.9
  194.6  11887  -64.9  -68.3     62   0.02    255     66  332.5  332.6  332.5
  185.2  12192  -63.9  -68.1     57   0.02    250     68  338.7  338.8  338.8
  171.0  12683  -62.4  -67.6     49   0.02    245     92  349.1  349.2  349.1
  167.7  12802  -62.0  -67.5     48   0.03    245     92  351.6  351.7  351.6
  150.0  13490  -59.9  -66.9     40   0.03    260     73  366.7  366.8  366.7
  144.7  13716  -59.4  -67.1     36   0.03    260     70  371.3  371.5  371.3
  135.0  14149  -58.5  -67.5     30   0.03    261     75  380.4  380.5  380.4
  113.3  15240  -60.1  -70.9     23   0.02    265     88  396.8  397.0  396.8
  102.8  15850  -61.0  -72.8     20   0.02    265     80  406.3  406.4  406.3
  100.0  16020  -61.3  -73.3     19   0.02    270     79  409.0  409.1  409.0
   97.9  16154  -61.4  -73.7     18   0.02    270     79  411.4  411.5  411.4
   93.7  16422  -61.5  -74.5     16   0.02    270     79  416.3  416.4  416.3
   91.5  16569  -62.7  -74.7     18   0.02    270     79  416.8  416.9  416.8
   70.0  18210  -63.7  -76.7     15   0.02    270     80  447.8  447.9  447.8
   64.3  18729  -65.5  -78.5     15   0.01    274     76  454.8  454.9  454.8
   56.6  19507  -64.1  -78.1     13   0.02    280     70  474.8  474.9  474.8
   50.0  20270  -62.7  -77.7     12   0.02    275     69  495.3  495.4  495.3
   42.1  21336  -60.9  -75.2     14   0.03    265     61  524.7  524.9  524.7
   40.1  21641  -60.4  -74.5     14   0.04    265     58  533.4  533.7  533.4
   39.6  21713  -60.3  -74.3     14   0.04    265     59  535.5  535.8  535.5
   30.0  23440  -60.7  -74.7     14   0.05    260     75  578.6  579.0  578.6
   28.0  23870  -60.5  -74.5     14   0.06    257     75  590.7  591.1  590.7
   23.1  25091  -53.5  -68.5     14   0.16    250     76  644.6  646.0  644.6
   20.0  26040  -43.9  -58.9     17   0.68    245     77  701.0  707.3  701.3
   16.8  27216  -41.9  -59.9     12   0.71    241     91  743.2  750.2  743.6
   16.3  27432  -39.0  -59.6      9   0.76    240     94  759.3  766.9  759.6
   16.0  27549  -37.5  -59.5      8   0.79    238     96  768.0  776.0  768.4
   15.6  27737  -38.7  -61.0      8   0.67    235     98  770.1  777.0  770.5
   14.4  28269  -42.1  -65.1      6   0.42    235     99  776.0  780.5  776.2
   13.9  28511  -41.5  -65.3      6   0.42    235    100  786.1  790.6  786.3
   11.9  29566  -38.6  -66.2      4   0.44    230     91  831.6  836.6  831.8
   11.2  29986  -37.5  -66.5      3   0.44                850.4  855.6  850.6
