lat Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
90 245.5191 245.4521 245.7714 249.1721 255.0868 260.9508 264.3086 262.5043 256.8670 250.5108 247.9096 246.5768
87 245.6161 245.5684 245.8885 249.2439 255.1705 261.0339 264.4279 262.6119 256.9781 250.6339 248.0505 246.6863
85 245.8586 245.8463 246.1864 249.4439 255.3877 261.2731 264.7253 262.8826 257.2956 250.9892 248.4142 246.9554
82 246.1586 246.1640 246.5629 249.7577 255.7028 261.6720 265.1287 263.2489 257.7829 251.5303 248.8785 247.2720
80 246.5056 246.5019 246.9933 250.2201 256.1640 262.2727 265.6847 263.7395 258.4075 252.2031 249.3761 247.6006
77 246.9759 246.9605 247.5649 250.8968 256.8458 263.0892 266.4700 264.4244 259.1550 252.9921 249.9426 248.0225
75 247.6417 247.6333 248.3764 251.8100 257.7328 264.0423 267.4291 265.2856 260.0229 253.9352 250.6525 248.6476
72 248.5008 248.5035 249.4178 252.9005 258.7244 265.0130 268.4054 266.2258 261.0013 255.0684 251.5307 249.5070
70 249.4965 249.4795 250.5746 254.0757 259.7427 265.9432 269.3039 267.1721 262.0533 256.3539 252.5388 250.5365
67 250.5680 250.4922 251.7407 255.2808 260.7779 266.8339 270.1256 268.1046 263.1204 257.6855 253.6233 251.6392
65 251.6620 251.5240 252.8906 256.5080 261.8295 267.6722 270.8695 269.0086 264.1636 258.9725 254.7444 252.7370
62 252.7273 252.5690 254.0352 257.7474 262.8707 268.4270 271.5135 269.8764 265.1986 260.2032 255.8711 253.7869
60 253.7416 253.6148 255.1656 258.9664 263.8893 269.1182 272.0960 270.7493 266.2769 261.4243 256.9948 254.7932
57 254.7422 254.6698 256.2824 260.1490 264.9146 269.8214 272.7188 271.6906 267.4312 262.6806 258.1555 255.8147
55 255.8027 255.7763 257.4429 261.3297 265.9810 270.5975 273.4584 272.7238 268.6646 263.9954 259.4206 256.9285
52 256.9784 256.9768 258.7212 262.5701 267.1029 271.4728 274.3464 273.8543 269.9979 265.3954 260.8290 258.1745
50 258.2897 258.2894 260.1354 263.9135 268.3050 272.4982 275.4335 275.1276 271.4886 266.9253 262.3815 259.5579
47 259.7477 259.7271 261.6646 265.3759 269.6345 273.7484 276.7635 276.5808 273.1587 268.6147 264.0829 261.0932
45 261.3600 261.3138 263.3205 266.9630 271.1094 275.2177 278.2553 278.1326 274.9216 270.4285 265.9387 262.8042
42 263.1111 263.0594 265.1373 268.6659 272.6815 276.7733 279.7090 279.6057 276.6299 272.2708 267.8976 264.6706
40 264.9641 264.9363 267.0873 270.4498 274.2840 278.2741 280.9789 280.8835 278.1980 274.0498 269.8536 266.6218
37 266.9038 266.9099 269.0778 272.2696 275.8889 279.6794 282.0612 281.9659 279.6261 275.7313 271.7432 268.6125
35 268.9480 268.9723 271.0456 274.0882 277.4748 280.9788 282.9612 282.8471 280.8867 277.3105 273.5912 270.6594
32 271.0949 271.1170 272.9962 275.8577 278.9602 282.0699 283.5770 283.4361 281.8571 278.7404 275.4218 272.7730
30 273.2800 273.2881 274.9255 277.5011 280.2338 282.8187 283.8220 283.6800 282.4366 279.9264 277.1655 274.8797
27 275.4037 275.3905 276.7671 278.9530 281.2578 283.2378 283.8009 283.6994 282.7005 280.8118 278.7032 276.8534
25 277.3806 277.3410 278.4456 280.2035 282.0836 283.4944 283.7390 283.6935 282.8496 281.4307 279.9694 278.5989
22 279.1398 279.0787 279.9200 281.2614 282.7454 283.7067 283.7379 283.7264 282.9991 281.8591 280.9590 280.0667
20 280.5951 280.5293 281.1427 282.0919 283.2008 283.8277 283.7063 283.6944 283.0929 282.1397 281.6672 281.2112
17 281.6607 281.6108 282.0402 282.6429 283.4108 283.7720 283.5374 283.5062 283.0415 282.2904 282.0930 281.9904
15 282.3060 282.2934 282.5819 282.9315 283.4267 283.5648 283.2472 283.1960 282.8596 282.3471 282.2910 282.4134
12 282.5832 282.6301 282.8303 283.0439 283.3405 283.2907 282.9066 282.8429 282.6194 282.3495 282.3592 282.5569
10 282.6078 282.7216 282.8851 283.0477 283.1910 282.9824 282.5453 282.4802 282.3557 282.3058 282.3690 282.5314
7 282.5204 282.6749 282.8244 282.9673 282.9894 282.6592 282.2009 282.1455 282.0992 282.2236 282.3494 282.4469
5 282.4371 282.5873 282.7213 282.8495 282.8012 282.4143 281.9718 281.9350 281.9362 282.1554 282.3284 282.3878
2 282.3985 282.5223 282.6502 282.7734 282.7156 282.3395 281.9233 281.9067 281.9259 282.1551 282.3340 282.3798
0 282.3685 282.4828 282.6328 282.7714 282.7396 282.3906 281.9804 281.9785 281.9984 282.2033 282.3586 282.3851
