PRESSURE TEMP H2O UPWARD_FLUX DOWNWARD_FLUX    
   mb     K   ppmv   W/m2        W/m2
 0.0670 218.1000  3.7000 281.4938  0.0000
 0.0775 221.3175  3.8024 281.5026  0.0366
 0.0910 225.4425  3.9336 281.5133  0.0581
 0.1069 230.2917  4.0879 281.5252  0.0810
 0.1255 235.9750  4.2687 281.5382  0.1072
 0.1487 241.3398  4.4438 281.5528  0.1402
 0.1794 245.2639  4.5823 281.5708  0.1836
 0.2165 250.0060  4.7496 281.5898  0.2342
 0.2613 255.7323  4.9517 281.6090  0.2944
 0.3336 260.1927  5.0887 281.6322  0.3920
 0.4307 265.0677  5.2286 281.6532  0.5188
 0.5894 270.3921  5.3756 281.6603  0.7260
 1.3390 274.6474  5.4948 281.4861  1.6251
 1.7820 269.6902  5.4449 281.3036  2.0314
 2.2920 264.8255  5.3272 281.1124  2.4061
 2.9640 259.9665  5.1796 280.8934  2.8115
 3.8530 255.0247  5.0601 280.6433  3.2621
 5.0350 250.0184  4.9895 280.3646  3.7725
 6.6130 244.9926  4.9467 280.0633  4.3654
 8.7860 240.1463  4.8685 279.7527  5.0598
11.8000 235.6026  4.7538 279.4488  5.9083
15.0700 232.0275  4.6204 279.2276  6.6824
18.7900 228.7004  4.4619 279.0827  7.4362
23.1600 226.8623  4.3315 279.0283  8.2477
28.1200 224.9880  4.1813 279.0267  9.1070
33.7300 223.5883  3.9575 279.0757  9.9770
40.5400 222.2216  3.7295 279.1668 10.9202
48.6900 220.7797  3.4975 279.3202 11.9059
57.6900 219.4555  3.3319 279.5316 12.8392
68.4300 218.0391  3.2107 279.8277 13.7778
81.2000 216.8000  3.1500 280.2052 14.7227
96.4900 215.7000  3.2093 280.6940 15.6887
114.6000 215.7000  3.3189 281.4666 16.8673
136.5000 215.7000  3.8522 282.4672 18.2377
162.9000 215.7381  6.1423 283.9268 20.0106
196.4000 219.5700 20.4352 286.8982 23.6808
218.7000 224.1544 48.3036 289.3350 28.7108
243.0000 228.8000 95.5600 292.2799 36.5172
269.0000 233.2474 199.3137 295.8536 46.8628
297.5000 237.7558 310.7826 300.1872 58.8938
328.5000 242.3094 434.7906 305.1703 71.3121
361.9000 246.8323 597.2677 310.8438 84.4885
398.1000 251.3417 826.9733 317.2108 98.7555
437.6000 255.9361 1113.1803 324.3589 114.4917
480.5000 260.5074 1457.7869 332.1820 131.6037
533.0000 265.3194 2000.8955 341.6732 152.6026
589.8000 270.1027 2993.2486 352.1339 175.6582
651.6000 274.9268 4437.8244 364.0089 201.9052
718.7000 279.7674 6333.5130 377.2198 230.1218
792.3000 284.5674 9290.3130 391.5259 260.7827
891.5000 289.2275 13349.5000 407.6648 299.7630
1013.0000 294.2000 18760.0000 424.7961 347.9980
