PRESSURE TEMP H2O UPWARD_FLUX DOWNWARD_FLUX    
   mb     K   ppmv   W/m2        W/m2
 0.0004 219.2601  0.3979 230.7538  0.0000
 0.0692 235.4175  3.6237 230.7964  0.0986
 0.0959 240.9958  4.0048 230.8085  0.1338
 0.1353 245.1900  4.2167 230.8233  0.1832
 0.1908 250.9577  4.5056 230.8393  0.2484
 0.2701 255.4240  4.6651 230.8546  0.3402
 0.3824 260.9241  4.8564 230.8602  0.4681
 0.5428 263.4725  4.9063 230.8431  0.6444
 0.7717 265.4929  4.9673 230.7830  0.8845
 1.0950 262.1771  5.0000 230.6461  1.1810
 1.5580 254.4537  5.0000 230.4561  1.4842
 2.2260 246.3649  4.9708 230.2366  1.7977
 3.1860 238.4793  4.9193 229.9953  2.1227
 4.5730 230.8197  4.8692 229.7466  2.4628
 6.5600 223.5513  4.8210 229.5261  2.8456
 9.4670 218.7839  4.7731 229.4094  3.3734
13.6500 216.4961  4.7262 229.3815  4.1522
19.5600 215.3829  4.6805 229.4618  5.2173
27.9500 215.2000  4.6077 229.6640  6.6878
39.5600 215.2000  4.5279 230.0033  8.5616
55.9700 215.2000  4.5000 230.5530 10.8239
77.7400 215.8656  4.5000 231.3356 13.3522
99.3800 216.6548  4.5910 232.0692 15.5199
120.7000 217.2725  4.7145 232.8005 17.4536
141.5000 217.7794  4.8318 233.5278 19.1932
162.8000 218.2314  5.0627 234.3184 20.8824
184.3000 218.6280  5.8561 235.1387 22.5539
206.3000 218.9855  8.2839 235.9953 24.3369
228.8000 219.3206 14.7274 236.9348 26.4126
251.9000 219.6336 26.9973 238.1663 29.2711
275.3000 222.3118 40.9438 240.1663 33.3877
298.8000 225.6294 55.3534 242.3053 38.3422
322.5000 228.6000 80.8127 244.5372 43.9180
346.4000 231.5875 106.7242 246.8033 49.8691
370.2000 234.2304 160.1634 249.1754 56.3130
394.2000 236.8823 215.1468 251.6303 63.1318
418.0000 239.3105 306.7723 254.2149 70.3272
441.8000 241.6476 415.1383 256.9124 77.8229
465.7000 243.9624 524.0230 259.7312 85.5685
490.0000 246.0878 635.1796 262.7091 93.3966
514.3000 248.2131 746.3362 265.7074 101.0061
538.8000 250.2859 868.6215 268.7636 108.5632
563.4000 252.2078 1014.6520 271.8902 116.1584
588.1000 254.1375 1161.2760 274.9990 123.6572
612.9000 256.0361 1325.2555 278.0988 131.1496
637.7000 257.7723 1559.0758 281.2252 138.8024
662.5000 259.5086 1792.8961 284.2972 146.5069
687.4000 261.2519 2027.6593 287.1855 154.2421
712.2000 262.3715 2222.3066 289.3937 161.4110
736.9000 263.2730 2402.5985 291.4236 167.8128
761.7000 264.1781 2583.6204 293.4367 173.8387
786.6000 265.0869 2765.3723 295.4174 179.5621
812.0000 265.9254 2926.0279 297.4419 185.1943
837.5000 266.7548 3083.8625 299.4366 190.5663
863.1000 267.5875 3242.3160 301.3857 195.7003
888.8000 268.4235 3401.3885 303.2769 200.6208
914.5000 269.1988 3576.8368 305.1342 205.4114
940.3000 269.9469 3761.0920 306.9248 210.0747
966.1000 270.6950 3945.3471 308.6086 214.6182
992.0000 271.4461 4130.3165 310.1377 219.0412
1018.0000 272.2000 4316.0000 311.2909 223.3746
