lat Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
90 244.2781 243.6813 245.2468 250.5100 258.5661 263.9608 266.3629 262.1153 260.0725 252.7024 246.6033 250.2983
87 244.5885 243.8794 245.2806 250.6517 258.4911 263.9508 266.4363 262.4107 260.1565 252.7584 246.9688 250.2532
85 245.3195 244.4860 245.4733 251.0757 258.3001 263.9094 266.5820 263.1596 260.3839 253.0209 247.8010 250.0034
82 246.0773 245.4504 245.9618 251.7479 258.1208 263.8456 266.7360 264.0645 260.6834 253.5624 248.6557 249.4911
80 246.6492 246.6164 246.7822 252.5183 258.1417 263.8788 267.0058 264.9154 261.0047 254.2271 249.3922 249.0127
77 247.0951 247.8120 247.8541 253.2576 258.5049 264.1949 267.5456 265.7012 261.3774 254.7965 250.1715 248.9990
75 247.5405 248.9661 249.0895 253.9936 259.2060 264.8974 268.3264 266.5127 261.8771 255.3219 251.0920 249.5399
72 248.0467 250.0807 250.4261 254.8237 260.1142 265.9142 269.1747 267.3655 262.5391 256.0990 252.0820 250.3600
70 248.6824 251.1258 251.7833 255.7535 261.0751 267.0506 269.9985 268.1798 263.3170 257.2894 253.1116 251.2390
67 249.5826 252.0369 253.0581 256.6977 261.9823 268.1020 270.8258 268.9191 264.1298 258.7226 254.2715 252.2226
65 250.8280 252.8068 254.1856 257.5990 262.7872 268.9400 271.6331 269.6740 264.9350 260.1079 255.5803 253.3747
62 252.3174 253.5096 255.1766 258.4526 263.5070 269.5432 272.3148 270.5553 265.7491 261.3309 256.8841 254.5754
60 253.8406 254.2315 256.1095 259.2707 264.2358 270.0093 272.8477 271.5398 266.6312 262.4749 258.0458 255.6895
57 255.2663 255.0281 257.0920 260.1245 265.0820 270.4869 273.3649 272.4971 267.6698 263.6600 259.1050 256.7739
55 256.6042 255.9432 258.2042 261.1622 266.0781 271.0850 274.0126 273.3690 268.9405 264.9524 260.1994 257.9688
52 257.9250 257.0228 259.4523 262.4744 267.1877 271.8393 274.8524 274.2776 270.4548 266.3906 261.4322 259.2762
50 259.2794 258.3016 260.8041 263.9808 268.3993 272.7792 275.9300 275.4039 272.1569 268.0013 262.8769 260.6197
47 260.6942 259.8080 262.2620 265.5516 269.7458 273.9606 277.2936 276.8024 273.9653 269.7648 264.5951 262.0320
45 262.1658 261.5590 263.8528 267.1834 271.2177 275.3803 278.8553 278.3650 275.8021 271.5995 266.5491 263.6280
42 263.6683 263.5163 265.5392 268.9475 272.7408 276.9159 280.3642 279.9557 277.5883 273.4136 268.5760 265.4145
40 265.2135 265.5771 267.2302 270.8006 274.2835 278.4275 281.6365 281.4927 279.2589 275.1589 270.5336 267.2755
37 266.9150 267.6486 268.9236 272.6140 275.9088 279.8749 282.7010 282.8736 280.7761 276.8261 272.4292 269.1565
35 268.9102 269.7114 270.7462 274.3559 277.6241 281.2520 283.6278 283.9161 282.0851 278.3878 274.3271 271.1350
32 271.1988 271.7891 272.7812 276.0962 279.2575 282.4391 284.3123 284.4673 283.0655 279.7645 276.1947 273.2570
30 273.6019 273.8797 274.9280 277.8210 280.5823 283.2719 284.6055 284.5803 283.6142 280.8679 277.9141 275.4140
27 275.9183 275.9534 277.0190 279.4001 281.5690 283.7613 284.5789 284.4950 283.8039 281.6911 279.4108 277.4348
25 278.0504 277.9688 278.9755 280.7568 282.3802 284.1052 284.4792 284.4157 283.8580 282.3070 280.6706 279.2101
22 279.9493 279.8304 280.7492 281.9352 283.1230 284.4317 284.4274 284.3568 283.9259 282.7646 281.6695 280.6877
20 281.5198 281.3758 282.1936 282.9469 283.7195 284.6545 284.3359 284.2313 283.9544 283.0454 282.3759 281.8168
17 282.6528 282.4826 283.1490 283.6885 284.0663 284.6498 284.1324 284.0165 283.8412 283.1404 282.8201 282.5827
15 283.3296 283.1802 283.6368 284.0861 284.1942 284.4593 283.8732 283.7436 283.6017 283.1135 283.0921 283.0519
12 283.6297 283.5799 283.8391 284.2126 284.1960 284.2160 283.6043 283.4062 283.3131 283.0319 283.2331 283.3158
10 283.6549 283.7452 283.8946 284.1961 284.0932 283.9646 283.2765 282.9966 282.9991 282.8949 283.2303 283.4077
7 283.5038 283.6967 283.8298 284.0981 283.8783 283.6837 282.8936 282.6134 282.6811 282.7018 283.1118 283.3445
5 283.2955 283.5180 283.6878 283.9501 283.6292 283.4272 282.6015 282.4069 282.4656 282.5388 282.9787 283.2070
2 283.1380 283.3415 283.5621 283.8200 283.4693 283.2944 282.5118 282.4013 282.4455 282.5127 282.9218 283.1171
0 283.0623 283.2338 283.4986 283.7653 283.4445 283.2859 282.5526 282.4717 282.5571 282.6120 282.9438 283.1241
