date lat lon slpmin amplitude radius ptendency
50         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2013061818   37.11  133.21  994.93   11.85 -999.00 -999.00
2013061900   36.89  140.36  996.01   13.65  633.87    1.08
2013061906   38.45  142.35  995.36    8.18  245.95   -0.65
2013061912   41.35  146.69  996.36    7.22  489.76    1.00
2013061918   41.70  152.82  991.63   13.68  510.55   -4.72
2013062000   43.75  157.93  987.39   18.84  474.42   -4.24
2013062006   44.62  160.64  983.86   24.76  236.22   -3.53
2013062012   46.01  166.33  979.53   20.69  469.83   -4.33
2013062018   46.52  169.29  974.71   22.19  233.97   -4.82
2013062100   49.30  171.87  971.12   26.16  363.20   -3.59
2013062106   49.57  175.10  967.71   24.82  234.94   -3.41
2013062112   51.96  174.81  967.49   26.26  265.95   -0.22
2013062118   51.96  174.81  967.96   24.81    0.00    0.47
2013062200   52.10  178.26  968.88   24.76  235.99    0.92
2013062206   52.10  181.74  971.90   22.29  237.16    3.02
2013062212   51.96  185.19  976.66   21.06  235.99    4.75
2013062218   54.02  189.16  981.03   14.04  349.96    4.38
2013062300   54.02  189.16  985.03   14.35    0.00    4.00
2013062306   53.57  192.72  989.58   11.31  238.56    4.56
2013062312   52.97  196.19  992.84   14.39  239.64    3.25
2013062318   54.47  200.77  995.19    8.43  343.58    2.35
2013062400   53.42  212.20  997.05    6.44  754.55    1.87
2013062406   53.42  212.20  995.30    7.07    0.00   -1.75
2013062412   52.10  215.13  994.89    8.10  245.23   -0.41
2013062418   50.68  217.88  994.12    5.56  247.10   -0.77
2013062500   50.68  217.88  993.88    6.75    0.00   -0.24
2013062506   49.16  220.43  994.01    5.93  248.20    0.13
2013062512   49.16  220.43  994.25    5.56    0.00    0.24
2013062518   49.16  220.43  994.40    6.14    0.00    0.15
2013062600   49.16  220.43  996.03    5.52    0.00    1.63
2013062606   49.16  220.43  996.78    4.89    0.00    0.74
2013062612   49.16  220.43  997.33    6.23    0.00    0.55
2013062618   49.16  220.43  998.60    6.53    0.00    1.27
2013062700   47.30  218.42  999.76    7.73  254.26    1.16
2013062706   48.76  215.91 1001.28    7.62  246.79    1.52
2013062712   47.30  218.42 1002.21    9.21  246.79    0.93
2013062718   48.76  215.91 1003.60    8.97  246.79    1.39
2013062800   48.76  215.91 1005.29    9.27    0.00    1.69
2013062806   48.76  215.91 1007.34    8.37    0.00    2.04
2013062812   46.78  214.11 1007.87    5.96  257.42    0.53
2013062818   46.78  214.11 1009.43    5.93    0.00    1.56
2013062900   45.37  216.57 1009.45    6.73  245.58    0.02
2013062906   45.37  216.57 1010.00    7.74    0.00    0.55
2013062912   47.30  218.42 1009.79    9.24  256.77   -0.22
2013062918   47.30  218.42 1010.83    9.22    0.00    1.04
2013063000   47.56  222.80 1010.51   10.14  329.96   -0.32
2013063006   47.56  222.80 1011.10   10.34    0.00    0.59
2013063012   47.56  222.80 1011.59    8.03    0.00    0.49
2013063018   47.56  222.80 1012.92    6.12    0.00    1.33
2013070100   47.56  222.80 1014.37    3.64    0.00    1.45
19         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2007073112   39.48  295.97 1010.71    8.22 -999.00 -999.00
2007073118   41.70  297.18 1008.89    4.92  266.57   -1.82
2007080100   42.66  300.96 1005.95   17.41  328.49   -2.94
2007080106   44.74  302.47 1002.91   16.93  260.61   -3.05
2007080112   48.76  305.91 1002.64    9.85  516.90   -0.27
2007080118   49.16  310.43  998.40   18.21  332.20   -4.24
2007080200   52.68  315.00  992.34   27.80  504.46   -6.06
2007080206   55.87  320.44  985.15   26.42  499.18   -7.19
2007080212   57.32  323.53  975.82   55.06  247.97   -9.33
2007080218   58.66  326.89  972.14   40.03  247.24   -3.69
2007080300   58.66  326.89  971.12   42.29    0.00   -1.02
2007080306   59.88  330.52  968.42   45.10  246.27   -2.70
2007080312   57.82  332.53  971.20   44.85  255.98    2.78
2007080318   58.83  336.25  973.31   29.68  243.93    2.11
2007080400   59.70  340.20  976.39   29.23  243.84    3.09
2007080406   59.70  340.20  978.31   30.49    0.00    1.92
2007080412   60.41  344.36  982.04   26.27  243.43    3.73
2007080418   62.64  343.07  984.93   20.80  256.63    2.88
2007080500   63.23  347.74  987.34   20.34  244.60    2.42
26         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2012071800   46.91  290.38 1001.61    7.25 -999.00 -999.00
2012071806   48.22  294.44 1001.39    7.75  336.84   -0.21
2012071812   47.17  297.26 1000.80   12.91  240.65   -0.59
2012071818   50.12  303.23  999.01   17.42  546.21   -1.79
2012071900   52.10  305.13  997.35   20.02  256.45   -1.67
2012071906   52.10  305.13  995.54   23.22    0.00   -1.81
2012071912   52.54  310.03  993.40   25.11  335.81   -2.15
2012071918   54.32  312.40  991.74   24.78  252.05   -1.66
2012072000   54.32  312.40  990.67   25.17    0.00   -1.07
2012072006   54.32  312.40  989.86   23.68    0.00   -0.81
2012072012   56.03  315.00  990.16   15.14  251.23    0.30
2012072018   54.32  317.60  990.49    7.44  251.23    0.34
2012072100   52.54  319.97  983.98   19.13  252.06   -6.51
2012072106   57.32  323.53  976.65   27.87  576.66   -7.33
2012072112   57.32  323.53  972.98   36.62    0.00   -3.66
2012072118   58.66  326.89  972.27   28.82  247.24   -0.72
2012072200   59.88  330.52  971.64   32.58  246.26   -0.62
2012072206   59.88  330.52  970.91   37.11    0.00   -0.74
2012072212   60.95  334.44  972.27   28.25  245.30    1.37
2012072218   61.88  338.63  974.28   24.59  245.15    2.01
2012072300   61.88  338.63  976.64   24.10    0.00    2.36
2012072306   64.85  341.57  976.75   22.97  360.42    0.11
2012072312   64.85  341.57  979.56   22.43    0.00    2.82
2012072318   65.48  346.61  981.32   19.74  244.96    1.75
2012072400   65.48  346.61  986.81   17.47    0.00    5.49
2012072406   65.91  351.87  989.27   17.64  244.82    2.47
42         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2011062312   40.64  133.09  996.62    9.13 -999.00 -999.00
2011062318   42.30  138.95  994.65   14.57  520.68   -1.97
2011062400   41.35  146.69  995.38    9.71  648.31    0.74
2011062406   41.70  152.82  995.06   11.51  510.55   -0.32
2011062412   43.75  157.93  992.37   13.12  474.42   -2.69
2011062418   45.37  163.44  988.64   17.03  471.08   -3.73
2011062500   48.36  165.58  985.36   17.97  369.29   -3.28
