date lat lon slpmin amplitude radius ptendency
24         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2008082212   63.82  325.62  996.13    5.90 -999.00 -999.00
2008082218   61.88  328.24  991.19   13.90  252.79   -4.93
2008082300   63.03  332.35  986.81   15.15  246.40   -4.38
2008082306   64.03  336.80  983.61   11.83  246.38   -3.20
2008082312   64.03  336.80  981.03   13.59    0.00   -2.58
2008082318   67.02  339.78  978.81   13.47  358.81   -2.23
2008082400   65.06  329.93  977.43   10.85  493.49   -1.38
2008082406   63.82  325.62  973.60   12.36  247.91   -3.82
2008082412   59.88  330.52  973.86   19.79  506.50    0.26
2008082418   61.88  338.63  970.84   13.57  490.43   -3.02
2008082500   62.64  343.07  969.69   20.27  244.24   -1.16
2008082506   62.64  343.07  969.80   19.40    0.00    0.12
2008082512   64.85  341.57  972.38   22.18  255.99    2.58
2008082518   64.85  341.57  974.82   18.05    0.00    2.43
2008082600   66.13  334.65  977.10   18.66  348.49    2.29
2008082606   66.13  334.65  980.82   17.89    0.00    3.72
2008082612   67.02  339.78  985.59   21.14  246.78    4.76
2008082618   66.13  334.65  990.52   13.92  246.78    4.94
2008082700   64.03  336.80  997.61    8.94  253.70    7.09
2008082706   64.85  341.57 1000.98    6.93  245.72    3.37
2008082712   63.03  332.35 1003.29    7.61  492.09    2.31
2008082718   63.03  332.35 1002.80    9.76    0.00   -0.49
2008082800   63.03  332.35 1003.76   11.84    0.00    0.96
2008082806   63.03  332.35 1003.02   14.20    0.00   -0.74
33         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2016081100   67.02   20.22 1005.76    7.43 -999.00 -999.00
2016081106   67.02   20.22 1005.26    9.90    0.00   -0.50
2016081112   67.02   20.22 1004.75    9.21    0.00   -0.51
2016081118   67.02   20.22 1005.34    7.74    0.00    0.58
2016081200   66.13   25.35 1004.96    6.79  246.79   -0.38
2016081206   66.13   25.35 1004.45    8.96    0.00   -0.50
2016081212   68.19   27.90 1002.69    9.98  253.53   -1.76
2016081218   68.19   27.90 1001.59   12.42    0.00   -1.11
2016081300   72.40   45.00  998.68   13.18  787.55   -2.91
2016081306   73.93   50.71  998.16    9.58  249.78   -0.52
2016081312   75.26   57.53  995.34   16.67  249.13   -2.82
2016081318   76.35   65.56  993.60   11.42  249.43   -1.74
2016081400   77.53   84.81  989.10   18.85  497.52   -4.50
2016081406   79.78   96.34  984.45   25.33  353.30   -4.64
2016081412   79.29  108.43  984.19   23.61  249.14   -0.26
2016081418   80.29  125.54  978.66   27.84  352.79   -5.54
2016081500   81.41  156.80  977.10   22.30  557.88   -1.56
2016081506   82.02  171.87  974.74   30.68  249.46   -2.36
2016081512   82.02  171.87  975.37   30.16    0.00    0.64
2016081518   84.25  191.31  972.60   26.26  354.02   -2.77
2016081600   84.25  191.31  972.79   24.20    0.00    0.18
2016081606   86.44  198.43  973.52   20.61  250.83    0.74
2016081612   86.44  161.57  973.84   25.95  249.61    0.32
2016081618   86.44  161.57  974.57   21.88    0.00    0.73
2016081700   85.22  135.00  975.65   27.46  249.99    1.08
2016081706   83.42  149.04  978.91   17.66  250.89    3.26
2016081712   83.42  149.04  981.69   15.55    0.00    2.79
2016081718   83.42  149.04  984.91   11.62    0.00    3.22
2016081800   81.41  156.80  986.67   11.48  249.80    1.75
2016081806   82.02  171.87  987.21   13.65  249.46    0.55
2016081812   82.02  171.87  988.31   13.69    0.00    1.10
2016081818   82.02  188.13  988.21   13.34  249.63   -0.10
2016081900   82.02  188.13  986.25   14.08    0.00   -1.96
33         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2016081906   77.12  232.12  986.71   22.81 -999.00 -999.00
2016081912   80.29  234.46  982.54   20.24  355.30   -4.17
2016081918   79.29  251.57  979.77   27.02  352.78   -2.76
2016082000   81.41  246.80  979.86   21.42  251.20    0.09
2016082006   82.02  261.87  980.63   24.43  249.46    0.77
2016082012   84.25  258.69  982.70   19.12  250.90    2.07
2016082018   84.25  258.69  982.94   21.02    0.00    0.24
2016082100   85.22  225.00  984.74   22.15  353.46    1.80
2016082106   85.22  225.00  986.97   19.23    0.00    2.23
2016082112   85.22  225.00  988.55   16.61    0.00    1.58
2016082118   86.44  198.43  988.97    6.37  249.99    0.42
2016082200   84.25  101.31  986.31    8.93  790.54   -2.65
2016082206   79.78   83.66  981.43   12.61  560.06   -4.89
2016082212   79.78   96.34  977.30   18.11  249.13   -4.13
2016082218   81.41  113.20  974.22   16.11  353.28   -3.08
2016082300   82.02  135.00  972.87   19.02  352.80   -1.35
2016082306   82.02  135.00  974.54   15.88    0.00    1.67
2016082312   85.22  135.00  978.41   12.49  355.04    3.87
2016082318   85.22  135.00  979.05   16.15    0.00    0.64
2016082400   85.22  135.00  979.93   17.15    0.00    0.88
2016082406   84.25  101.31  982.00   17.77  353.46    2.07
2016082412   84.25  101.31  985.33   16.48    0.00    3.33
2016082418   84.25   78.69  988.05   19.20  249.82    2.72
2016082500   82.02   81.87  991.88   13.46  250.90    3.84
2016082506   81.41   66.80  993.68   13.08  249.46    1.80
2016082512   81.41   66.80  995.22   12.73    0.00    1.54
2016082518   80.29   54.46  997.40    4.87  249.99    2.19
