date lat lon slpmin amplitude radius ptendency
24         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2008082212   63.82  325.62  996.13    5.90 -999.00 -999.00
2008082218   61.88  328.24  991.19   13.90  252.79   -4.93
2008082300   63.03  332.35  986.81   15.15  246.40   -4.38
2008082306   64.03  336.80  983.61   11.83  246.38   -3.20
2008082312   64.03  336.80  981.03   13.59    0.00   -2.58
2008082318   67.02  339.78  978.81   13.47  358.81   -2.23
2008082400   65.06  329.93  977.43   10.85  493.49   -1.38
2008082406   63.82  325.62  973.60   12.36  247.91   -3.82
2008082412   59.88  330.52  973.86   19.79  506.50    0.26
2008082418   61.88  338.63  970.84   13.57  490.43   -3.02
2008082500   62.64  343.07  969.69   20.27  244.24   -1.16
2008082506   62.64  343.07  969.80   19.40    0.00    0.12
2008082512   64.85  341.57  972.38   22.18  255.99    2.58
2008082518   64.85  341.57  974.82   18.05    0.00    2.43
2008082600   66.13  334.65  977.10   18.66  348.49    2.29
2008082606   66.13  334.65  980.82   17.89    0.00    3.72
2008082612   67.02  339.78  985.59   21.14  246.78    4.76
2008082618   66.13  334.65  990.52   13.92  246.78    4.94
2008082700   64.03  336.80  997.61    8.94  253.70    7.09
2008082706   64.85  341.57 1000.98    6.93  245.72    3.37
2008082712   63.03  332.35 1003.29    7.61  492.09    2.31
2008082718   63.03  332.35 1002.80    9.76    0.00   -0.49
2008082800   63.03  332.35 1003.76   11.84    0.00    0.96
2008082806   63.03  332.35 1003.02   14.20    0.00   -0.74
24         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2016082506   52.54  139.97  991.33   15.29 -999.00 -999.00
2016082512   52.54  139.97  989.64   18.70    0.00   -1.69
2016082518   54.02  142.76  987.15   13.60  247.38   -2.49
2016082600   57.32  143.53  982.93   19.73  369.28   -4.21
2016082606   60.59  144.46  978.01   24.51  366.67   -4.92
2016082612   65.06  149.93  975.58   23.51  567.67   -2.43
2016082618   67.02  147.10  971.17   30.65  252.04   -4.40
2016082700   71.26  154.98  970.31   23.24  563.14   -0.86
2016082706   74.25  158.96  972.83   21.57  356.45    2.52
2016082712   76.35  155.56  974.82   23.41  251.79    1.99
2016082718   81.41  156.80  975.36   18.14  562.00    0.54
2016082800   83.42  149.04  972.20   16.60  249.81   -3.17
2016082806   85.22  135.00  973.93   16.53  250.88    1.73
2016082812   85.22   45.00  975.55    9.97  749.57    1.63
2016082818   83.42   30.96  975.82   11.74  250.89    0.27
2016082900   83.42   30.96  975.91    9.85    0.00    0.08
2016082906   81.41   23.20  976.82    9.88  249.80    0.91
2016082912   80.29   35.54  979.46    9.23  249.99    2.64
2016082918   78.82   45.00  981.11    9.10  250.10    1.65
2016083000   77.12   52.12  981.79   17.46  250.03    0.67
2016083006   77.12   52.12  983.48   16.82    0.00    1.70
2016083012   78.38   60.95  983.33   15.93  250.11   -0.15
2016083018   81.41   66.80  985.81   14.65  354.52    2.48
2016083100   81.41   66.80  989.28   14.86    0.00    3.47
39         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2015053106   58.66  349.51  992.84   16.96 -999.00 -999.00
2015053112   60.41  344.36  993.02   17.28  348.60    0.18
2015053118   60.41  344.36  990.90   17.41    0.00   -2.11
2015060100   60.41  344.36  988.56   20.06    0.00   -2.34
2015060106   60.41  344.36  986.80   18.52    0.00   -1.76
2015060112   55.87  346.43  986.42   14.20  518.02   -0.38
2015060118   56.67  354.09  984.55   25.80  479.92   -1.87
2015060200   56.67  354.09  982.57   22.30    0.00   -1.98
2015060206   59.18  357.88  980.89   23.77  356.83   -1.68
2015060212   59.18  357.88  982.78   19.37    0.00    1.89
2015060218   61.51    2.29  985.92   13.64  354.02    3.14
2015060300   63.62    7.43  987.16   12.16  351.72    1.24
2015060306   64.85   18.43  987.39    9.44  546.99    0.23
2015060312   66.13   25.35  987.43    9.00  348.49    0.04
2015060318   67.02   32.91  987.02   14.91  347.52   -0.40
2015060400   70.71   40.24  985.59   12.25  502.86   -1.43
2015060406   72.40   45.00  984.79   13.95  251.01   -0.81
2015060412   75.62   45.00  985.04   11.93  357.26    0.26
2015060418   77.12   52.12  984.40   12.17  249.41   -0.64
2015060500   79.29   71.57  984.87   14.17  499.15    0.46
2015060506   82.02   81.87  983.62   18.77  354.07   -1.24
2015060512   82.02   81.87  982.80   17.32    0.00   -0.82
2015060518   84.25  101.31  981.45   18.85  354.02   -1.35
2015060600   84.25  101.31  978.90   17.07    0.00   -2.55
2015060606   86.44  108.43  974.80   25.83  250.83   -4.10
2015060612   86.44  161.57  972.41   25.52  353.17   -2.39
2015060618   86.44  161.57  970.81   24.40    0.00   -1.60
2015060700   86.44  161.57  971.10   23.16    0.00    0.29
2015060706   86.44  161.57  972.42   19.02    0.00    1.32
2015060712   86.44  161.57  972.83   19.20    0.00    0.41
2015060718   86.44  161.57  973.68   17.90    0.00    0.85
2015060800   86.44  161.57  973.69   19.70    0.00    0.01
2015060806   86.44  161.57  974.68   19.43    0.00    0.99
2015060812   86.44  161.57  976.15   17.81    0.00    1.47
2015060818   86.44  161.57  978.77   13.60    0.00    2.62
2015060900   86.44  161.57  981.55   14.53    0.00    2.78
