date lat lon slpmin amplitude radius ptendency
19         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2007073112   39.48  295.97 1010.71    8.22 -999.00 -999.00
2007073118   41.70  297.18 1008.89    4.92  266.57   -1.82
2007080100   42.66  300.96 1005.95   17.41  328.49   -2.94
2007080106   44.74  302.47 1002.91   16.93  260.61   -3.05
2007080112   48.76  305.91 1002.64    9.85  516.90   -0.27
2007080118   49.16  310.43  998.40   18.21  332.20   -4.24
2007080200   52.68  315.00  992.34   27.80  504.46   -6.06
2007080206   55.87  320.44  985.15   26.42  499.18   -7.19
2007080212   57.32  323.53  975.82   55.06  247.97   -9.33
2007080218   58.66  326.89  972.14   40.03  247.24   -3.69
2007080300   58.66  326.89  971.12   42.29    0.00   -1.02
2007080306   59.88  330.52  968.42   45.10  246.27   -2.70
2007080312   57.82  332.53  971.20   44.85  255.98    2.78
2007080318   58.83  336.25  973.31   29.68  243.93    2.11
2007080400   59.70  340.20  976.39   29.23  243.84    3.09
2007080406   59.70  340.20  978.31   30.49    0.00    1.92
2007080412   60.41  344.36  982.04   26.27  243.43    3.73
2007080418   62.64  343.07  984.93   20.80  256.63    2.88
2007080500   63.23  347.74  987.34   20.34  244.60    2.42
26         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2012071800   46.91  290.38 1001.61    7.25 -999.00 -999.00
2012071806   48.22  294.44 1001.39    7.75  336.84   -0.21
2012071812   47.17  297.26 1000.80   12.91  240.65   -0.59
2012071818   50.12  303.23  999.01   17.42  546.21   -1.79
2012071900   52.10  305.13  997.35   20.02  256.45   -1.67
2012071906   52.10  305.13  995.54   23.22    0.00   -1.81
2012071912   52.54  310.03  993.40   25.11  335.81   -2.15
2012071918   54.32  312.40  991.74   24.78  252.05   -1.66
2012072000   54.32  312.40  990.67   25.17    0.00   -1.07
2012072006   54.32  312.40  989.86   23.68    0.00   -0.81
2012072012   56.03  315.00  990.16   15.14  251.23    0.30
2012072018   54.32  317.60  990.49    7.44  251.23    0.34
2012072100   52.54  319.97  983.98   19.13  252.06   -6.51
2012072106   57.32  323.53  976.65   27.87  576.66   -7.33
2012072112   57.32  323.53  972.98   36.62    0.00   -3.66
2012072118   58.66  326.89  972.27   28.82  247.24   -0.72
2012072200   59.88  330.52  971.64   32.58  246.26   -0.62
2012072206   59.88  330.52  970.91   37.11    0.00   -0.74
