date lat lon thetamin amplitude circulation radius
8          -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958060300   75.26   32.47 1007.61    8.73 -999.00 -999.00
1958060306   73.30   28.30 1007.03    8.14  251.29   -0.58
1958060312   72.11   34.70 1005.15   12.25  248.86   -1.88
1958060318   70.71   40.24 1003.30    6.17  249.31   -1.85
1958060400   70.71   40.24  999.35    8.63    0.00   -3.95
1958060406   69.16   45.00  994.86   11.79  249.86   -4.48
1958060412   69.16   45.00  994.17   12.06    0.00   -0.69
1958060418   69.16   45.00  995.50   10.98    0.00    1.33
8          -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958060312   69.16  315.00 1011.54   10.13 -999.00 -999.00
1958060318   73.93  320.71 1003.69   24.35  564.80   -7.84
1958060400   73.93  320.71 1005.17   19.95    0.00    1.47
1958060406   75.26  327.53 1008.29   18.15  249.45    3.13
1958060412   72.11  325.30 1006.52   23.90  357.06   -1.77
1958060418   72.11  325.30 1003.63   28.28    0.00   -2.89
1958060500   72.11  325.30 1006.25   26.71    0.00    2.62
1958060506   72.11  325.30 1010.96   20.28    0.00    4.71
10         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958060400   61.51  272.29 1012.26    8.23 -999.00 -999.00
1958060406   63.82  272.49 1011.08   10.04  257.38   -1.18
1958060412   63.62  277.43 1009.07   10.72  243.68   -2.01
1958060418   65.91  278.13 1007.02   12.52  256.09   -2.05
1958060500   65.48  283.39 1004.29   12.89  244.93   -2.73
1958060506   68.19  278.97 1002.67   17.17  356.66   -1.62
1958060512   68.19  278.97 1000.62   17.39    0.00   -2.05
1958060518   68.19  278.97 1000.23   13.28    0.00   -0.39
1958060600   68.19  278.97 1000.54   10.00    0.00    0.31
1958060606   65.91  278.13  998.94    4.40  255.00   -1.59
25         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958060412   65.06   30.07  995.48    9.10 -999.00 -999.00
1958060418   65.06   30.07  994.74   14.31    0.00   -0.74
1958060500   62.45   38.29  993.59   17.99  495.81   -1.14
1958060506   62.45   38.29  993.33   18.81    0.00   -0.27
1958060512   62.45   38.29  994.92   13.61    0.00    1.59
1958060518   62.64   45.00  996.84   11.54  343.72    1.93
1958060600   59.18   38.99  996.91    8.41  502.57    0.07
1958060606   60.95   41.82  997.04    9.06  251.80    0.13
1958060612   62.64   45.00  997.35   18.16  250.78    0.32
1958060618   62.45   51.71  997.58   14.78  343.72    0.22
1958060700   62.45   51.71  996.75   12.38    0.00   -0.83
1958060706   65.06   59.93  997.07   14.90  495.81    0.32
1958060712   66.13   64.65  997.68    9.13  246.99    0.61
1958060718   66.13   64.65  995.99    9.68    0.00   -1.70
1958060800   67.71   75.26  996.60   12.47  492.70    0.61
1958060806   70.45   79.99  997.38    9.64  356.32    0.79
1958060812   72.69   78.69  996.72   13.34  253.17   -0.66
1958060818   74.92   77.01  995.28   15.40  252.43   -1.44
1958060900   74.92   77.01  996.10   16.16    0.00    0.81
1958060906   77.12   74.74  992.03   19.35  251.77   -4.07
1958060912   77.12   74.74  992.52   20.25    0.00    0.49
1958060918   77.12   74.74  991.58   22.32    0.00   -0.94
1958061000   77.12   74.74  993.69   21.04    0.00    2.11
1958061006   77.12   74.74  997.63   14.98    0.00    3.94
1958061012   77.53   84.81  998.40   18.29  248.69    0.77
10         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958060506   69.92  343.61 1012.77    9.90 -999.00 -999.00
1958060512   70.45  349.99 1014.96    8.82  246.80    2.19
1958060518   70.71  356.63 1014.93    9.17  246.64   -0.02
1958060600   72.69   11.31 1015.16    4.15  554.48    0.23
1958060606   72.11   18.43 1013.43    7.28  247.57   -1.74
1958060612   72.11   18.43 1012.44    9.18    0.00   -0.99
1958060618   69.16   22.38 1010.26    7.32  357.12   -2.17
1958060700   70.18   30.96 1007.40   13.48  349.33   -2.87
1958060706   67.02   32.91 1005.95   12.11  359.36   -1.45
1958060712   65.06   30.07 1007.71    8.62  252.74    1.76
10         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958060512   59.18  128.99  997.31    7.99 -999.00 -999.00
1958060518   60.95  131.82  998.80   10.52  251.79    1.49
1958060600   62.64  135.00  999.65    9.41  250.79    0.85
1958060606   64.23  138.58  996.94   12.45  249.87   -2.71
1958060612   65.70  142.60  998.54   14.66  249.13    1.60
1958060618   65.70  142.60 1001.71   11.38    0.00    3.17
1958060700   65.70  142.60 1000.87   12.47    0.00   -0.84
1958060706   65.70  142.60 1000.72   14.37    0.00   -0.15
1958060712   65.70  142.60 1003.32   12.06    0.00    2.60
1958060718   68.19  152.10 1005.62   10.02  496.29    2.30
20         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958061018   80.29   54.46  999.37    8.17 -999.00 -999.00
1958061100   77.12   52.12  996.87    2.44  355.39   -2.50
