date lat lon thetamin amplitude circulation radius
16         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958010100   67.71   75.26 1000.55    8.31 -999.00 -999.00
1958010106   70.45   79.99 1000.22    8.86  356.32   -0.32
1958010112   70.45   79.99  999.42    6.10    0.00   -0.81
1958010118   72.99   86.19  999.36    6.64  354.90   -0.06
1958010200   72.99   93.81  999.52    6.61  247.38    0.17
1958010206   75.26   94.40 1000.84    6.32  252.52    1.32
1958010212   77.12  105.25 1001.56    6.08  352.91    0.72
1958010218   79.29  108.43 1001.23    9.13  251.24   -0.33
1958010300   79.29  108.43  999.96    9.77    0.00   -1.28
1958010306   79.29  108.43  999.53    9.98    0.00   -0.42
1958010312   79.29  108.43 1000.58    9.35    0.00    1.05
1958010318   81.41  113.20  999.75    9.64  250.78   -0.83
1958010400   81.41  113.20 1000.43    8.76    0.00    0.68
1958010406   81.41  113.20 1000.41    7.38    0.00   -0.02
1958010412   84.25  101.31  999.66    6.66  354.14   -0.75
1958010418   84.25  101.31  999.59    7.03    0.00   -0.07
14         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958010318   77.53    5.19 1002.67   13.78 -999.00 -999.00
1958010400   77.12   15.26  994.82   28.29  248.69   -7.85
1958010406   77.12   15.26  990.63   26.79    0.00   -4.18
1958010412   78.38   29.05  987.41   19.38  352.35   -3.22
1958010418   78.82   45.00  987.26   19.45  352.07   -0.16
1958010500   78.38   60.95  985.66   24.20  352.07   -1.60
1958010506   77.12   74.74  985.98   31.32  352.35    0.32
1958010512   77.53   84.81  987.96   28.35  248.69    1.99
1958010518   77.12  105.25  998.10   13.98  497.34   10.13
1958010600   76.35  114.44 1000.89   12.34  248.85    2.79
1958010606   78.38  119.06 1002.33   11.30  251.04    1.45
1958010612   80.29  125.54 1005.77    8.93  250.59    3.43
1958010618   80.29  125.54 1008.52    9.17    0.00    2.75
1958010700   80.29  125.54 1012.55    7.91    0.00    4.03
9          -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958010718   67.02  327.09  989.04   27.46 -999.00 -999.00
1958010800   67.02  327.09  990.08   28.99    0.00    1.04
1958010806   67.02  327.09  987.55   28.59    0.00   -2.53
1958010812   65.06  329.93  983.69   13.53  252.74   -3.87
1958010818   68.19  332.10  980.26   24.50  360.12   -3.42
1958010900   67.02  339.78  982.32   15.27  348.80    2.06
1958010906   67.71  345.26  982.77   12.35  246.17    0.45
1958010912   67.71  345.26  981.32   11.81    0.00   -1.45
1958010918   69.92  343.61  978.72   16.42  253.83   -2.61
25         -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1958011218   61.88  328.24  980.63   19.96 -999.00 -999.00
1958011300   63.03  332.35  977.61   25.47  246.60   -3.01
1958011306   65.06  329.93  980.49   24.44  253.73    2.88
1958011312   67.71  345.26  977.87   33.45  739.67   -2.63
1958011318   70.45  349.99  978.89   25.64  356.32    1.03
1958011400   72.99  356.19  977.31   25.13  354.90   -1.58
1958011406   75.26    4.40  974.30   32.82  353.76   -3.01
1958011412   77.53    5.19  974.58   28.31  251.86    0.28
1958011418   79.29   18.43  972.88   27.05  353.04   -1.69
1958011500   81.41   23.20  970.55   26.52  250.78   -2.33
1958011506   83.42   30.96  968.56   25.59  250.44   -1.99
1958011512   85.22   45.00  969.48   27.59  250.20    0.92
1958011518   85.22   45.00  968.46   29.10    0.00   -1.02
1958011600   86.44   71.57  970.55   21.18  250.05    2.08
1958011606   88.41  135.00  971.11    9.92  353.72    0.57
1958011612   86.44  161.57  973.95   25.38  250.14    2.84
1958011618   86.44  161.57  976.38   22.55    0.00    2.43
1958011700   86.44  161.57  982.21   18.46    0.00    5.83
